,SalePrice
0,130500.0
1,220000.0
2,109000.0
3,174000.0
4,138500.0
5,190000.0
6,140000.0
7,142000.0
8,112100.0
9,135000.0
10,85400.0
11,183600.0
12,131000.0
13,200000.0
14,193000.0
15,173500.0
16,98000.0
17,139000.0
18,143500.0
19,215200.0
20,129000.0
21,278000.0
22,344133.0
23,184500.0
24,145000.0
25,187500.0
26,138500.0
27,198000.0
28,119600.0
29,120900.0
30,278000.0
31,230000.0
32,270000.0
33,125000.0
34,297000.0
35,113500.0
36,127000.0
37,190000.0
38,175500.0
39,146000.0
40,147500.0
41,465000.0
42,165500.0
43,131500.0
44,129500.0
45,257076.0
46,117000.0
47,149000.0
48,128000.0
49,155000.0
50,166000.0
51,135000.0
52,248000.0
53,76000.0
54,155000.0
55,158000.0
56,149500.0
57,121000.0
58,136000.0
59,173000.0
60,290000.0
61,303477.0
62,270000.0
63,122250.0
64,153000.0
65,147000.0
66,148500.0
67,130000.0
68,372000.0
69,213490.0
70,308030.0
71,300000.0
72,159500.0
73,137500.0
74,232000.0
75,93850.0
76,105000.0
77,68500.0
78,154300.0
79,129850.0
80,114000.0
81,501837.0
82,153900.0
83,130000.0
84,160500.0
85,310090.0
86,184900.0
87,132000.0
88,162350.0
89,155000.0
90,183000.0
91,211000.0
92,184000.0
93,118858.0
94,180500.0
95,166000.0
96,148000.0
97,124000.0
98,277500.0
99,350000.0
100,387000.0
101,86000.0
102,290000.0
103,44000.0
104,215000.0
105,146500.0
106,165000.0
107,136000.0
108,252000.0
109,175500.0
110,150000.0
111,139300.0
112,162900.0
113,160000.0
114,63900.0
115,184000.0
116,149900.0
117,300000.0
118,145000.0
119,231500.0
120,108000.0
121,120000.0
122,128500.0
123,115000.0
124,110000.0
125,150000.0
126,178000.0
127,199500.0
128,183500.0
129,126000.0
130,148500.0
131,149000.0
132,137900.0
133,324000.0
134,98000.0
135,103400.0
136,94000.0
137,209500.0
138,545224.0
139,159900.0
140,141000.0
141,215000.0
142,127000.0
143,128000.0
144,267916.0
145,127500.0
146,198500.0
147,175500.0
148,217500.0
149,149500.0
150,147600.0
151,556581.0
152,156500.0
153,237000.0
154,119520.0
155,201000.0
156,130000.0
157,167900.0
158,129000.0
159,134450.0
160,112000.0
161,207000.0
162,62500.0
163,154000.0
164,129900.0
165,85000.0
166,116900.0
167,148500.0
168,80000.0
169,152000.0
170,155891.0
171,165000.0
172,204500.0
173,146500.0
174,157000.0
175,184000.0
176,183200.0
177,139000.0
178,341000.0
179,96000.0
180,140000.0
181,149700.0
182,153500.0
183,13100.0
184,224900.0
185,176000.0
186,285000.0
187,282922.0
188,226000.0
189,361919.0
190,457347.0
191,279000.0
192,196000.0
193,152000.0
194,200000.0
195,294900.0
196,224243.0
197,92000.0
198,179540.0
199,386250.0
200,106500.0
201,310000.0
202,252000.0
203,164000.0
204,177594.0
205,123900.0
206,239000.0
207,169000.0
208,234000.0
209,173000.0
210,148300.0
211,170000.0
212,225000.0
213,144900.0
214,144000.0
215,192000.0
216,145500.0
217,86900.0
218,149500.0
219,119750.0
220,173900.0
221,136500.0
222,270000.0
223,235000.0
224,156000.0
225,153000.0
226,165000.0
227,325000.0
228,140000.0
229,202500.0
230,367294.0
231,175000.0
232,140000.0
233,174000.0
234,190000.0
235,129000.0
236,200000.0
237,193500.0
238,145000.0
239,218000.0
240,135000.0
241,146500.0
242,194700.0
243,230348.0
244,109500.0
245,242500.0
246,239000.0
247,156000.0
248,109008.0
249,68104.0
250,290000.0
251,159000.0
252,87000.0
253,270000.0
254,198000.0
255,119164.0
256,93000.0
257,226750.0
258,95000.0
259,139900.0
260,76050.0
261,86900.0
262,152000.0
263,96000.0
264,82500.0
265,179200.0
266,142500.0
267,115400.0
268,226000.0
269,144152.0
270,370000.0
271,149900.0
272,172785.0
273,129000.0
274,181000.0
275,148000.0
276,117250.0
277,192500.0
278,151000.0
279,112500.0
280,144000.0
281,370967.0
282,149900.0
283,195000.0
284,163900.0
285,182000.0
286,410000.0
287,152000.0
288,184000.0
289,206300.0
290,146500.0
291,108000.0
292,170000.0
293,145000.0
294,123000.0
295,173000.0
296,105900.0
297,91000.0
298,158000.0
299,190000.0
300,217500.0
301,165500.0
302,174500.0
303,100000.0
304,159500.0
305,120000.0
306,82000.0
307,127000.0
308,129500.0
309,187500.0
310,300000.0
311,190000.0
312,96000.0
313,241000.0
314,143900.0
315,87550.0
316,319900.0
317,356383.0
318,239000.0
319,287500.0
320,128500.0
321,185088.0
322,229800.0
323,124500.0
324,142000.0
325,149000.0
326,135000.0
327,128000.0
328,430000.0
329,145000.0
330,139000.0
331,178000.0
332,460000.0
333,214500.0
334,160000.0
335,214000.0
336,128900.0
337,168000.0
338,310013.0
339,170000.0
340,133700.0
341,165000.0
342,89500.0
343,140000.0
344,134000.0
345,245500.0
346,145000.0
347,179900.0
348,147000.0
349,136000.0
350,128000.0
351,88750.0
352,122500.0
353,97500.0
354,135000.0
355,314813.0
356,85000.0
357,134900.0
358,137000.0
359,350000.0
360,145000.0
361,418000.0
362,64000.0
363,159434.0
364,260261.0
365,166000.0
366,130000.0
367,112000.0
368,155000.0
369,269500.0
370,172000.0
371,219500.0
372,133500.0
373,170000.0
374,150000.0
375,130000.0
376,143000.0
377,140000.0
378,244000.0
379,101000.0
380,120500.0
381,183000.0
382,104000.0
383,112500.0
384,207500.0
385,225000.0
386,119900.0
387,293000.0
388,180000.0
389,169900.0
390,112000.0
391,152000.0
392,300000.0
393,107000.0
394,122500.0
395,89000.0
396,95000.0
397,143450.0
398,376162.0
399,167500.0
400,153337.0
401,103600.0
402,128200.0
403,177500.0
404,320000.0
405,190000.0
406,91500.0
407,93000.0
408,40000.0
409,127000.0
410,50138.0
411,148000.0
412,120500.0
413,139500.0
414,320000.0
415,219000.0
416,131000.0
417,171925.0
418,177900.0
419,141500.0
420,191000.0
421,158000.0
422,248900.0
423,175000.0
424,185440.0
425,163000.0
426,115000.0
427,157500.0
